product,qu,price,lprice,lqu
1,1308,29.7657,3.393357,7.176255
2,1016,26.01733,3.258763,6.923629
3,9659,17.58998,2.867329,9.175646
4,14032,9.692931,2.271397,9.549096
5,12343,10.18069,2.320493,9.420844
6,100523,13.00866,2.565615,11.51814
7,168548,14.65388,2.684705,12.03498
8,197574,15.12964,2.716656,12.19387
9,50423,12.59318,2.533155,10.8282
10,45688,13.00866,2.565615,10.72959
11,427,18.56158,2.921094,6.056784
12,11010,17.12336,2.840444,9.30656
13,48684,14.79126,2.694036,10.79311
14,56452,14.70544,2.688218,10.94115
15,40495,14.11962,2.647566,10.60893
16,7922,37.77953,3.631768,8.977399
